Orthogroup	Aco	Ath	Atr	CS_A	CS_B	CS_D	CS_Un	Kni	Mpo	Osa	Ptr	Vvi	Zma
OG0028912	Aco000842.1												
OG0028913	Aco000845.1												
OG0028914	Aco000853.1												
OG0028915	Aco000864.1												
OG0028916	Aco000872.1												
OG0028917	Aco000876.1												
OG0028918	Aco000879.1												
OG0028919	Aco000893.1												
OG0028920	Aco000897.1												
OG0028921	Aco000898.1												
OG0028922	Aco000901.1												
OG0028923	Aco000922.1												
OG0028924	Aco000947.1												
OG0028925	Aco000949.1												
OG0028926	Aco000953.1												
OG0028927	Aco000958.1												
OG0028928	Aco000999.1												
OG0028929	Aco001007.1												
OG0028930	Aco001016.1												
OG0028931	Aco001030.1												
OG0028932	Aco001067.1												
OG0028933	Aco001070.1												
OG0028934	Aco001082.1												
OG0028935	Aco001104.1												
OG0028936	Aco001110.1												
OG0028937	Aco001115.1												
OG0028938	Aco001137.1												
OG0028939	Aco001145.1												
OG0028940	Aco001147.1												
OG0028941	Aco001148.1												
OG0028942	Aco001154.1												
OG0028943	Aco001156.1												
OG0028944	Aco001158.1												
OG0028945	Aco001164.1												
OG0028946	Aco001166.1												
OG0028947	Aco001172.1												
OG0028948	Aco001180.1												
OG0028949	Aco001182.1												
OG0028950	Aco001184.1												
OG0028951	Aco001193.1												
OG0028952	Aco001196.1												
OG0028953	Aco001205.1												
OG0028954	Aco001207.1												
OG0028955	Aco001210.1												
OG0028956	Aco001221.1												
OG0028957	Aco001225.1												
OG0028958	Aco001231.1												
OG0028959	Aco001244.1												
OG0028960	Aco001247.1												
OG0028961	Aco001258.1												
OG0028962	Aco001275.1												
OG0028963	Aco001296.1												
OG0028964	Aco001307.1												
OG0028965	Aco001310.1												
OG0028966	Aco001324.1												
OG0028967	Aco001341.1												
OG0028968	Aco001343.1												
OG0028969	Aco001357.1												
OG0028970	Aco001365.1												
OG0028971	Aco001386.1												
OG0028972	Aco001387.1												
OG0028973	Aco001393.1												
OG0028974	Aco001396.1												
OG0028975	Aco001404.1												
OG0028976	Aco001412.1												
OG0028977	Aco001440.1												
OG0028978	Aco001476.1												
OG0028979	Aco001483.1												
OG0028980	Aco001490.1												
OG0028981	Aco001529.1												
OG0028982	Aco001540.1												
OG0028983	Aco001541.1												
OG0028984	Aco001559.1												
OG0028985	Aco001596.1												
OG0028986	Aco001598.1												
OG0028987	Aco001609.1												
OG0028988	Aco001610.1												
OG0028989	Aco001614.1												
OG0028990	Aco001621.1												
OG0028991	Aco001654.1												
OG0028992	Aco001656.1												
OG0028993	Aco001672.1												
OG0028994	Aco001681.1												
OG0028995	Aco001686.1												
OG0028996	Aco001687.1												
OG0028997	Aco001726.1												
OG0028998	Aco001728.1												
OG0028999	Aco001750.1												
OG0029000	Aco001751.1												
OG0029001	Aco001758.1												
OG0029002	Aco001764.1												
OG0029003	Aco001765.1												
OG0029004	Aco001807.1												
OG0029005	Aco001817.1												
OG0029006	Aco001819.1												
OG0029007	Aco001829.1												
OG0029008	Aco001833.1												
OG0029009	Aco001834.1												
OG0029010	Aco001861.1												
OG0029011	Aco001864.1												
OG0029012	Aco001872.1												
OG0029013	Aco001873.1												
OG0029014	Aco001880.1												
OG0029015	Aco001882.1												
OG0029016	Aco001885.1												
OG0029017	Aco001901.1												
OG0029018	Aco001911.1												
OG0029019	Aco001922.1												
OG0029020	Aco001923.1												
OG0029021	Aco001925.1												
OG0029022	Aco001927.1												
OG0029023	Aco001936.1												
OG0029024	Aco001946.1												
OG0029025	Aco001956.1												
OG0029026	Aco001972.1												
OG0029027	Aco001977.1												
OG0029028	Aco001981.1												
OG0029029	Aco001984.1												
OG0029030	Aco001993.1												
OG0029031	Aco002008.1												
OG0029032	Aco002011.1												
OG0029033	Aco002013.1												
OG0029034	Aco002035.1												
OG0029035	Aco002039.1												
OG0029036	Aco002088.1												
OG0029037	Aco002106.1												
OG0029038	Aco002119.1												
OG0029039	Aco002127.1												
OG0029040	Aco002175.1												
OG0029041	Aco002177.1												
OG0029042	Aco002181.1												
OG0029043	Aco002185.1												
OG0029044	Aco002190.1												
OG0029045	Aco002210.1												
OG0029046	Aco002217.1												
OG0029047	Aco002218.1												
OG0029048	Aco002242.1												
OG0029049	Aco002249.1												
OG0029050	Aco002260.1												
OG0029051	Aco002267.1												
OG0029052	Aco002273.1												
OG0029053	Aco002299.1												
OG0029054	Aco002300.1												
OG0029055	Aco002306.1												
OG0029056	Aco002329.1												
OG0029057	Aco002338.1												
OG0029058	Aco002349.1												
OG0029059	Aco002373.1												
OG0029060	Aco002393.1												
OG0029061	Aco002407.1												
OG0029062	Aco002409.1												
OG0029063	Aco002417.1												
OG0029064	Aco002433.1												
OG0029065	Aco002437.1												
OG0029066	Aco002441.1												
OG0029067	Aco002448.1												
OG0029068	Aco002449.1												
OG0029069	Aco002456.1												
OG0029070	Aco002465.1												
OG0029071	Aco002472.1												
OG0029072	Aco002478.1												
OG0029073	Aco002480.1												
OG0029074	Aco002489.1												
OG0029075	Aco002493.1												
OG0029076	Aco002494.1												
OG0029077	Aco002503.1												
OG0029078	Aco002519.1												
OG0029079	Aco002535.1												
OG0029080	Aco002539.1												
OG0029081	Aco002545.1												
OG0029082	Aco002549.1												
OG0029083	Aco002563.1												
OG0029084	Aco002578.1												
OG0029085	Aco002579.1												
OG0029086	Aco002581.1												
OG0029087	Aco002587.1												
OG0029088	Aco002612.1												
OG0029089	Aco002640.1												
OG0029090	Aco002641.1												
OG0029091	Aco002642.1												
OG0029092	Aco002680.1												
OG0029093	Aco002715.1												
OG0029094	Aco002722.1												
OG0029095	Aco002725.1												
OG0029096	Aco002730.1												
OG0029097	Aco002733.1												
OG0029098	Aco002734.1												
OG0029099	Aco002746.1												
OG0029100	Aco002772.1												
OG0029101	Aco002776.1												
OG0029102	Aco002789.1												
OG0029103	Aco002809.1												
OG0029104	Aco002811.1												
OG0029105	Aco002840.1												
OG0029106	Aco002854.1												
OG0029107	Aco002860.1												
OG0029108	Aco002865.1												
OG0029109	Aco002866.1												
OG0029110	Aco002876.1												
OG0029111	Aco002885.1												
OG0029112	Aco002888.1												
OG0029113	Aco002919.1												
OG0029114	Aco002921.1												
OG0029115	Aco002931.1												
OG0029116	Aco002948.1												
OG0029117	Aco002962.1												
OG0029118	Aco002963.1												
OG0029119	Aco002985.1												
OG0029120	Aco002993.1												
OG0029121	Aco003010.1												
OG0029122	Aco003017.1												
OG0029123	Aco003027.1												
OG0029124	Aco003068.1												
OG0029125	Aco003073.1												
OG0029126	Aco003075.1												
OG0029127	Aco003081.1												
OG0029128	Aco003086.1												
OG0029129	Aco003104.1												
OG0029130	Aco003115.1												
OG0029131	Aco003145.1												
OG0029132	Aco003171.1												
OG0029133	Aco003173.1												
OG0029134	Aco003178.1												
OG0029135	Aco003190.1												
OG0029136	Aco003191.1												
OG0029137	Aco003199.1												
OG0029138	Aco003201.1												
OG0029139	Aco003208.1												
OG0029140	Aco003215.1												
OG0029141	Aco003221.1												
OG0029142	Aco003227.1												
OG0029143	Aco003232.1												
OG0029144	Aco003307.1												
OG0029145	Aco003314.1												
OG0029146	Aco003315.1												
OG0029147	Aco003338.1												
OG0029148	Aco003339.1												
OG0029149	Aco003344.1												
OG0029150	Aco003362.1												
OG0029151	Aco003368.1												
OG0029152	Aco003400.1												
OG0029153	Aco003418.1												
OG0029154	Aco003447.1												
OG0029155	Aco003527.1												
OG0029156	Aco003531.1												
OG0029157	Aco003535.1												
OG0029158	Aco003586.1												
OG0029159	Aco003598.1												
OG0029160	Aco003603.1												
OG0029161	Aco003631.1												
OG0029162	Aco003634.1												
OG0029163	Aco003636.1												
OG0029164	Aco003641.1												
OG0029165	Aco003657.1												
OG0029166	Aco003659.1												
OG0029167	Aco003660.1												
OG0029168	Aco003661.1												
OG0029169	Aco003664.1												
OG0029170	Aco003666.1												
OG0029171	Aco003667.1												
OG0029172	Aco003680.1												
OG0029173	Aco003684.1												
OG0029174	Aco003696.1												
OG0029175	Aco003703.1												
OG0029176	Aco003707.1												
OG0029177	Aco003710.1												
OG0029178	Aco003715.1												
OG0029179	Aco003725.1												
OG0029180	Aco003744.1												
OG0029181	Aco003749.1												
OG0029182	Aco003760.1												
OG0029183	Aco003763.1												
OG0029184	Aco003794.1												
OG0029185	Aco003799.1												
OG0029186	Aco003810.1												
OG0029187	Aco003828.1												
OG0029188	Aco003829.1												
OG0029189	Aco003839.1												
OG0029190	Aco003864.1												
OG0029191	Aco003881.1												
OG0029192	Aco003887.1												
OG0029193	Aco003888.1												
OG0029194	Aco003914.1												
OG0029195	Aco003932.1												
OG0029196	Aco003939.1												
OG0029197	Aco003979.1												
OG0029198	Aco003986.1												
OG0029199	Aco003991.1												
OG0029200	Aco004018.1												
OG0029201	Aco004020.1												
OG0029202	Aco004032.1												
OG0029203	Aco004044.1												
OG0029204	Aco004046.1												
OG0029205	Aco004053.1												
OG0029206	Aco004055.1												
OG0029207	Aco004072.1												
OG0029208	Aco004085.1												
OG0029209	Aco004093.1												
OG0029210	Aco004101.1												
OG0029211	Aco004105.1												
OG0029212	Aco004111.1												
OG0029213	Aco004142.1												
OG0029214	Aco004149.1												
OG0029215	Aco004157.1												
OG0029216	Aco004167.1												
OG0029217	Aco004173.1												
OG0029218	Aco004174.1												
OG0029219	Aco004176.1												
OG0029220	Aco004187.1												
OG0029221	Aco004222.1												
OG0029222	Aco004223.1												
OG0029223	Aco004233.1												
OG0029224	Aco004235.1												
OG0029225	Aco004245.1												
OG0029226	Aco004265.1												
OG0029227	Aco004298.1												
OG0029228	Aco004302.1												
OG0029229	Aco004312.1												
OG0029230	Aco004322.1												
OG0029231	Aco004326.1												
OG0029232	Aco004342.1												
OG0029233	Aco004344.1												
OG0029234	Aco004348.1												
OG0029235	Aco004357.1												
OG0029236	Aco004361.1												
OG0029237	Aco004387.1												
OG0029238	Aco004401.1												
OG0029239	Aco004402.1												
OG0029240	Aco004421.1												
OG0029241	Aco004437.1												
OG0029242	Aco004438.1												
OG0029243	Aco004472.1												
OG0029244	Aco004487.1												
OG0029245	Aco004494.1												
OG0029246	Aco004504.1												
OG0029247	Aco004505.1												
OG0029248	Aco004518.1												
OG0029249	Aco004530.1												
OG0029250	Aco004570.1												
OG0029251	Aco004580.1												
OG0029252	Aco004597.1												
OG0029253	Aco004606.1												
OG0029254	Aco004614.1												
OG0029255	Aco004624.1												
OG0029256	Aco004634.1												
OG0029257	Aco004637.1												
OG0029258	Aco004651.1												
OG0029259	Aco004657.1												
OG0029260	Aco004678.1												
OG0029261	Aco004712.1												
OG0029262	Aco004713.1												
OG0029263	Aco004714.1												
OG0029264	Aco004715.1												
OG0029265	Aco004740.1												
OG0029266	Aco004753.1												
OG0029267	Aco004807.1												
OG0029268	Aco004826.1												
OG0029269	Aco004838.1												
OG0029270	Aco004840.1												
OG0029271	Aco004852.1												
OG0029272	Aco004865.1												
OG0029273	Aco004869.1												
OG0029274	Aco004878.1												
OG0029275	Aco004879.1												
OG0029276	Aco004880.1												
OG0029277	Aco004882.1												
OG0029278	Aco004883.1												
OG0029279	Aco004889.1												
OG0029280	Aco004896.1												
OG0029281	Aco004907.1												
OG0029282	Aco004912.1												
OG0029283	Aco004924.1												
OG0029284	Aco004961.1												
OG0029285	Aco004975.1												
OG0029286	Aco004982.1												
OG0029287	Aco004992.1												
OG0029288	Aco004997.1												
OG0029289	Aco005021.1												
OG0029290	Aco005028.1												
OG0029291	Aco005032.1												
OG0029292	Aco005034.1												
OG0029293	Aco005035.1												
OG0029294	Aco005050.1												
OG0029295	Aco005055.1												
OG0029296	Aco005058.1												
OG0029297	Aco005059.1												
OG0029298	Aco005076.1												
OG0029299	Aco005081.1												
OG0029300	Aco005082.1												
OG0029301	Aco005092.1												
OG0029302	Aco005093.1												
OG0029303	Aco005102.1												
OG0029304	Aco005131.1												
OG0029305	Aco005142.1												
OG0029306	Aco005148.1												
OG0029307	Aco005161.1												
OG0029308	Aco005162.1												
OG0029309	Aco005174.1												
OG0029310	Aco005183.1												
OG0029311	Aco005215.1												
OG0029312	Aco005222.1												
OG0029313	Aco005249.1												
OG0029314	Aco005256.1												
OG0029315	Aco005271.1												
OG0029316	Aco005297.1												
OG0029317	Aco005310.1												
OG0029318	Aco005322.1												
OG0029319	Aco005328.1												
OG0029320	Aco005367.1												
OG0029321	Aco005373.1												
OG0029322	Aco005382.1												
OG0029323	Aco005387.1												
OG0029324	Aco005395.1												
OG0029325	Aco005414.1												
OG0029326	Aco005416.1												
OG0029327	Aco005424.1												
OG0029328	Aco005425.1												
OG0029329	Aco005431.1												
OG0029330	Aco005437.1												
OG0029331	Aco005450.1												
OG0029332	Aco005480.1												
OG0029333	Aco005509.1												
OG0029334	Aco005511.1												
OG0029335	Aco005528.1												
OG0029336	Aco005541.1												
OG0029337	Aco005542.1												
OG0029338	Aco005543.1												
OG0029339	Aco005551.1												
OG0029340	Aco005567.1												
OG0029341	Aco005576.1												
OG0029342	Aco005653.1												
OG0029343	Aco005656.1												
OG0029344	Aco005677.1												
OG0029345	Aco005683.1												
OG0029346	Aco005693.1												
OG0029347	Aco005720.1												
OG0029348	Aco005721.1												
OG0029349	Aco005738.1												
OG0029350	Aco005753.1												
OG0029351	Aco005769.1												
OG0029352	Aco005772.1												
OG0029353	Aco005781.1												
OG0029354	Aco005799.1												
OG0029355	Aco005809.1												
OG0029356	Aco005818.1												
OG0029357	Aco005819.1												
OG0029358	Aco005826.1												
OG0029359	Aco005828.1												
OG0029360	Aco005829.1												
OG0029361	Aco005846.1												
OG0029362	Aco005847.1												
OG0029363	Aco005856.1												
OG0029364	Aco005877.1												
OG0029365	Aco005886.1												
OG0029366	Aco005911.1												
OG0029367	Aco005914.1												
OG0029368	Aco005916.1												
OG0029369	Aco005926.1												
OG0029370	Aco005937.1												
OG0029371	Aco005964.1												
OG0029372	Aco006000.1												
OG0029373	Aco006023.1												
OG0029374	Aco006061.1												
OG0029375	Aco006070.1												
OG0029376	Aco006091.1												
OG0029377	Aco006104.1												
OG0029378	Aco006113.1												
OG0029379	Aco006119.1												
OG0029380	Aco006131.1												
OG0029381	Aco006155.1												
OG0029382	Aco006160.1												
OG0029383	Aco006188.1												
OG0029384	Aco006205.1												
OG0029385	Aco006210.1												
OG0029386	Aco006231.1												
OG0029387	Aco006236.1												
OG0029388	Aco006237.1												
OG0029389	Aco006239.1												
OG0029390	Aco006241.1												
OG0029391	Aco006245.1												
OG0029392	Aco006251.1												
OG0029393	Aco006262.1												
OG0029394	Aco006296.1												
OG0029395	Aco006299.1												
OG0029396	Aco006312.1												
OG0029397	Aco006324.1												
OG0029398	Aco006327.1												
OG0029399	Aco006335.1												
OG0029400	Aco006340.1												
OG0029401	Aco006342.1												
OG0029402	Aco006346.1												
OG0029403	Aco006367.1												
OG0029404	Aco006387.1												
OG0029405	Aco006390.1												
OG0029406	Aco006392.1												
OG0029407	Aco006397.1												
OG0029408	Aco006398.1												
OG0029409	Aco006418.1												
OG0029410	Aco006421.1												
OG0029411	Aco006422.1												
OG0029412	Aco006462.1												
OG0029413	Aco006509.1												
OG0029414	Aco006513.1												
OG0029415	Aco006514.1												
OG0029416	Aco006554.1												
OG0029417	Aco006569.1												
OG0029418	Aco006597.1												
OG0029419	Aco006611.1												
OG0029420	Aco006632.1												
OG0029421	Aco006656.1												
OG0029422	Aco006665.1												
OG0029423	Aco006671.1												
OG0029424	Aco006673.1												
OG0029425	Aco006681.1												
OG0029426	Aco006682.1												
OG0029427	Aco006686.1												
OG0029428	Aco006687.1												
OG0029429	Aco006699.1												
OG0029430	Aco006716.1												
OG0029431	Aco006718.1												
OG0029432	Aco006722.1												
OG0029433	Aco006723.1												
OG0029434	Aco006739.1												
OG0029435	Aco006763.1												
OG0029436	Aco006776.1												
OG0029437	Aco006793.1												
OG0029438	Aco006803.1												
OG0029439	Aco006810.1												
OG0029440	Aco006818.1												
OG0029441	Aco006823.1												
OG0029442	Aco006828.1												
OG0029443	Aco006831.1												
OG0029444	Aco006832.1												
OG0029445	Aco006833.1												
OG0029446	Aco006836.1												
OG0029447	Aco006864.1												
OG0029448	Aco006868.1												
OG0029449	Aco006869.1												
OG0029450	Aco006870.1												
OG0029451	Aco006905.1												
OG0029452	Aco006935.1												
OG0029453	Aco006977.1												
OG0029454	Aco006988.1												
OG0029455	Aco006990.1												
OG0029456	Aco006996.1												
OG0029457	Aco007003.1												
OG0029458	Aco007009.1												
OG0029459	Aco007045.1												
OG0029460	Aco007062.1												
OG0029461	Aco007070.1												
OG0029462	Aco007084.1												
OG0029463	Aco007093.1												
OG0029464	Aco007097.1												
OG0029465	Aco007105.1												
OG0029466	Aco007106.1												
OG0029467	Aco007109.1												
OG0029468	Aco007114.1												
OG0029469	Aco007184.1												
OG0029470	Aco007190.1												
OG0029471	Aco007193.1												
OG0029472	Aco007197.1												
OG0029473	Aco007218.1												
OG0029474	Aco007242.1												
OG0029475	Aco007243.1												
OG0029476	Aco007251.1												
OG0029477	Aco007280.1												
OG0029478	Aco007288.1												
OG0029479	Aco007301.1												
OG0029480	Aco007313.1												
OG0029481	Aco007315.1												
OG0029482	Aco007348.1												
OG0029483	Aco007353.1												
OG0029484	Aco007368.1												
OG0029485	Aco007405.1												
OG0029486	Aco007433.1												
OG0029487	Aco007436.1												
OG0029488	Aco007449.1												
OG0029489	Aco007455.1												
OG0029490	Aco007482.1												
OG0029491	Aco007489.1												
OG0029492	Aco007505.1												
OG0029493	Aco007511.1												
OG0029494	Aco007527.1												
OG0029495	Aco007538.1												
OG0029496	Aco007567.1												
OG0029497	Aco007572.1												
OG0029498	Aco007573.1												
OG0029499	Aco007582.1												
OG0029500	Aco007583.1												
OG0029501	Aco007591.1												
OG0029502	Aco007616.1												
OG0029503	Aco007683.1												
OG0029504	Aco007708.1												
OG0029505	Aco007745.1												
OG0029506	Aco007769.1												
OG0029507	Aco007773.1												
OG0029508	Aco007785.1												
OG0029509	Aco007798.1												
OG0029510	Aco007824.1												
OG0029511	Aco007852.1												
OG0029512	Aco007857.1												
OG0029513	Aco007863.1												
OG0029514	Aco007866.1												
OG0029515	Aco007880.1												
OG0029516	Aco007927.1												
OG0029517	Aco007948.1												
OG0029518	Aco007982.1												
OG0029519	Aco007983.1												
OG0029520	Aco007985.1												
OG0029521	Aco008006.1												
OG0029522	Aco008008.1												
OG0029523	Aco008009.1												
OG0029524	Aco008010.1												
OG0029525	Aco008019.1												
OG0029526	Aco008025.1												
OG0029527	Aco008064.1												
OG0029528	Aco008097.1												
OG0029529	Aco008098.1												
OG0029530	Aco008111.1												
OG0029531	Aco008113.1												
OG0029532	Aco008121.1												
OG0029533	Aco008127.1												
OG0029534	Aco008133.1												
OG0029535	Aco008141.1												
OG0029536	Aco008150.1												
OG0029537	Aco008160.1												
OG0029538	Aco008171.1												
OG0029539	Aco008197.1												
OG0029540	Aco008198.1												
OG0029541	Aco008199.1												
OG0029542	Aco008201.1												
OG0029543	Aco008204.1												
OG0029544	Aco008213.1												
OG0029545	Aco008217.1												
OG0029546	Aco008218.1												
OG0029547	Aco008219.1												
OG0029548	Aco008222.1												
OG0029549	Aco008225.1												
OG0029550	Aco008232.1												
OG0029551	Aco008243.1												
OG0029552	Aco008245.1												
OG0029553	Aco008253.1												
OG0029554	Aco008273.1												
OG0029555	Aco008278.1												
OG0029556	Aco008281.1												
OG0029557	Aco008286.1												
OG0029558	Aco008288.1												
OG0029559	Aco008304.1												
OG0029560	Aco008307.1												
OG0029561	Aco008328.1												
OG0029562	Aco008344.1												
OG0029563	Aco008357.1												
OG0029564	Aco008363.1												
OG0029565	Aco008374.1												
OG0029566	Aco008378.1												
OG0029567	Aco008384.1												
OG0029568	Aco008395.1												
OG0029569	Aco008403.1												
OG0029570	Aco008407.1												
OG0029571	Aco008412.1												
OG0029572	Aco008416.1												
OG0029573	Aco008435.1												
OG0029574	Aco008440.1												
OG0029575	Aco008454.1												
OG0029576	Aco008473.1												
OG0029577	Aco008480.1												
OG0029578	Aco008483.1												
OG0029579	Aco008506.1												
OG0029580	Aco008509.1												
OG0029581	Aco008515.1												
OG0029582	Aco008533.1												
OG0029583	Aco008543.1												
OG0029584	Aco008550.1												
OG0029585	Aco008580.1												
OG0029586	Aco008587.1												
OG0029587	Aco008624.1												
OG0029588	Aco008629.1												
OG0029589	Aco008645.1												
OG0029590	Aco008674.1												
OG0029591	Aco008683.1												
OG0029592	Aco008685.1												
OG0029593	Aco008720.1												
OG0029594	Aco008735.1												
OG0029595	Aco008736.1												
OG0029596	Aco008739.1												
OG0029597	Aco008757.1												
OG0029598	Aco008763.1												
OG0029599	Aco008767.1												
OG0029600	Aco008772.1												
OG0029601	Aco008774.1												
OG0029602	Aco008776.1												
OG0029603	Aco008782.1												
OG0029604	Aco008792.1												
OG0029605	Aco008800.1												
OG0029606	Aco008822.1												
OG0029607	Aco008823.1												
OG0029608	Aco008827.1												
OG0029609	Aco008836.1												
OG0029610	Aco008841.1												
OG0029611	Aco008864.1												
OG0029612	Aco008922.1												
OG0029613	Aco008939.1												
OG0029614	Aco008993.1												
OG0029615	Aco008996.1												
OG0029616	Aco008999.1												
OG0029617	Aco009015.1												
OG0029618	Aco009030.1												
OG0029619	Aco009037.1												
OG0029620	Aco009043.1												
OG0029621	Aco009069.1												
OG0029622	Aco009078.1												
OG0029623	Aco009102.1												
OG0029624	Aco009109.1												
OG0029625	Aco009112.1												
OG0029626	Aco009114.1												
OG0029627	Aco009121.1												
OG0029628	Aco009122.1												
OG0029629	Aco009141.1												
OG0029630	Aco009177.1												
OG0029631	Aco009183.1												
OG0029632	Aco009232.1												
OG0029633	Aco009253.1												
OG0029634	Aco009266.1												
OG0029635	Aco009281.1												
OG0029636	Aco009307.1												
OG0029637	Aco009309.1												
OG0029638	Aco009313.1												
OG0029639	Aco009315.1												
OG0029640	Aco009317.1												
OG0029641	Aco009325.1												
OG0029642	Aco009350.1												
OG0029643	Aco009351.1												
OG0029644	Aco009363.1												
OG0029645	Aco009364.1												
OG0029646	Aco009368.1												
OG0029647	Aco009373.1												
OG0029648	Aco009377.1												
OG0029649	Aco009386.1												
OG0029650	Aco009396.1												
OG0029651	Aco009401.1												
OG0029652	Aco009402.1												
OG0029653	Aco009405.1												
OG0029654	Aco009408.1												
OG0029655	Aco009413.1												
OG0029656	Aco009417.1												
OG0029657	Aco009419.1												
OG0029658	Aco009420.1												
OG0029659	Aco009423.1												
OG0029660	Aco009432.1												
OG0029661	Aco009435.1												
OG0029662	Aco009451.1												
OG0029663	Aco009455.1												
OG0029664	Aco009465.1												
OG0029665	Aco009468.1												
OG0029666	Aco009541.1												
OG0029667	Aco009546.1												
OG0029668	Aco009555.1												
OG0029669	Aco009576.1												
OG0029670	Aco009616.1												
OG0029671	Aco009625.1												
OG0029672	Aco009633.1												
OG0029673	Aco009640.1												
OG0029674	Aco009642.1												
OG0029675	Aco009649.1												
OG0029676	Aco009672.1												
OG0029677	Aco009704.1												
OG0029678	Aco009706.1												
OG0029679	Aco009724.1												
OG0029680	Aco009732.1												
OG0029681	Aco009736.1												
OG0029682	Aco009802.1												
OG0029683	Aco009808.1												
OG0029684	Aco009809.1												
OG0029685	Aco009812.1												
OG0029686	Aco009830.1												
OG0029687	Aco009844.1												
OG0029688	Aco009852.1												
OG0029689	Aco009853.1												
OG0029690	Aco009860.1												
OG0029691	Aco009861.1												
OG0029692	Aco009870.1												
OG0029693	Aco009871.1												
OG0029694	Aco009877.1												
OG0029695	Aco009882.1												
OG0029696	Aco009890.1												
OG0029697	Aco009895.1												
OG0029698	Aco009905.1												
OG0029699	Aco009960.1												
OG0029700	Aco009962.1												
OG0029701	Aco009963.1												
OG0029702	Aco009967.1												
OG0029703	Aco009990.1												
OG0029704	Aco009997.1												
OG0029705	Aco010000.1												
OG0029706	Aco010018.1												
OG0029707	Aco010034.1												
OG0029708	Aco010039.1												
OG0029709	Aco010040.1												
OG0029710	Aco010106.1												
OG0029711	Aco010134.1												
OG0029712	Aco010135.1												
OG0029713	Aco010138.1												
OG0029714	Aco010142.1												
OG0029715	Aco010144.1												
OG0029716	Aco010146.1												
OG0029717	Aco010188.1												
OG0029718	Aco010191.1												
OG0029719	Aco010194.1												
OG0029720	Aco010210.1												
OG0029721	Aco010212.1												
OG0029722	Aco010246.1												
OG0029723	Aco010252.1												
OG0029724	Aco010263.1												
OG0029725	Aco010266.1												
OG0029726	Aco010275.1												
OG0029727	Aco010286.1												
OG0029728	Aco010291.1												
OG0029729	Aco010311.1												
OG0029730	Aco010327.1												
OG0029731	Aco010338.1												
OG0029732	Aco010343.1												
OG0029733	Aco010371.1												
OG0029734	Aco010380.1												
OG0029735	Aco010419.1												
OG0029736	Aco010426.1												
OG0029737	Aco010431.1												
OG0029738	Aco010436.1												
OG0029739	Aco010439.1												
OG0029740	Aco010444.1												
OG0029741	Aco010447.1												
OG0029742	Aco010456.1												
OG0029743	Aco010457.1												
OG0029744	Aco010477.1												
OG0029745	Aco010487.1												
OG0029746	Aco010512.1												
OG0029747	Aco010518.1												
OG0029748	Aco010553.1												
OG0029749	Aco010568.1												
OG0029750	Aco010575.1												
OG0029751	Aco010579.1												
OG0029752	Aco010580.1												
OG0029753	Aco010582.1												
OG0029754	Aco010589.1												
OG0029755	Aco010602.1												
OG0029756	Aco010614.1												
OG0029757	Aco010615.1												
OG0029758	Aco010633.1												
OG0029759	Aco010662.1												
OG0029760	Aco010664.1												
OG0029761	Aco010677.1												
OG0029762	Aco010719.1												
OG0029763	Aco010726.1												
OG0029764	Aco010727.1												
OG0029765	Aco010736.1												
OG0029766	Aco010759.1												
OG0029767	Aco010771.1												
OG0029768	Aco010777.1												
OG0029769	Aco010779.1												
